Player, Object, Duration, Time
Player 2, Fish, 0:579, 04.08.2022 18:16:52
Player 1, Fish, 0:780, 04.08.2022 18:16:56
Player 1, Picture, 0:4, 04.08.2022 18:16:56
Player 2, Fish, 0:304, 04.08.2022 18:17:06
Player 1, plantFarn, 0:156, 04.08.2022 18:17:25
Player 1, Window, 0:710, 04.08.2022 18:17:31
Player 1, Window, 1:736, 04.08.2022 18:17:33
Player 1, Window, 0:199, 04.08.2022 18:17:33
Player 1, plantAloe, 0:141, 04.08.2022 18:17:47
Player 1, Fish, 0:164, 04.08.2022 18:18:09
Player 1, Fish, 0:52, 04.08.2022 18:18:09
Player 1, plantFarn, 0:27, 04.08.2022 18:18:10
Player 1, plantFarn, 0:404, 04.08.2022 18:18:13
Player 1, plantFarn, 0:247, 04.08.2022 18:18:14
Player 1, Fish, 1:459, 04.08.2022 18:18:24
Player 1, Fish, 0:143, 04.08.2022 18:18:24
Player 2, Fish, 0:207, 04.08.2022 18:18:27
Player 1, Fish, 0:263, 04.08.2022 18:18:28
Player 1, Fish, 0:272, 04.08.2022 18:18:29
Player 1, plantAloe, 0:270, 04.08.2022 18:18:30
Player 1, plantAloe, 0:83, 04.08.2022 18:18:30
Player 1, Window, 0:195, 04.08.2022 18:18:35
Player 1, Window, 0:268, 04.08.2022 18:18:36
Player 1, Window, 1:246, 04.08.2022 18:18:37
Player 1, Window, 0:147, 04.08.2022 18:18:43
Player 1, Window, 0:123, 04.08.2022 18:18:43
Player 2, Fish, 0:788, 04.08.2022 18:19:24
Player 1, Fish, 0:847, 04.08.2022 18:19:25
Player 1, Fish, 1:53, 04.08.2022 18:19:27
Player 1, Window, 0:202, 04.08.2022 18:19:39
Player 1, plantAloe, 0:100, 04.08.2022 18:20:15
Player 1, plantAloe, 0:98, 04.08.2022 18:20:18
Player 1, plantAloe, 0:242, 04.08.2022 18:20:19
Player 1, plantAloe, 0:68, 04.08.2022 18:20:23
Player 2, Fish, 0:615, 04.08.2022 18:20:29
Player 2, Fish, 0:104, 04.08.2022 18:20:29
Player 2, Fish, 0:125, 04.08.2022 18:20:29
Player 2, Fish, 1:246, 04.08.2022 18:20:31
Player 2, Fish, 1:545, 04.08.2022 18:20:32
Player 2, Fish, 0:470, 04.08.2022 18:20:33
Player 2, Fish, 0:122, 04.08.2022 18:20:33
Player 2, Fish, 0:956, 04.08.2022 18:20:35
Player 2, Fish, 1:442, 04.08.2022 18:20:37
Player 2, Fish, 0:380, 04.08.2022 18:20:39
Player 1, plantAloe, 1:215, 04.08.2022 18:20:41
Player 1, Window, 0:866, 04.08.2022 18:20:42
Player 1, Window, 0:325, 04.08.2022 18:20:42
Player 1, Window, 0:99, 04.08.2022 18:20:46
Player 1, Window, 0:623, 04.08.2022 18:20:47
Player 2, Fish, 10:735, 04.08.2022 18:20:50
Player 1, Fish, 0:349, 04.08.2022 18:20:55
Player 2, Window, 0:338, 04.08.2022 18:20:57
Player 1, Fish, 0:119, 04.08.2022 18:20:57
Player 2, Fish, 0:688, 04.08.2022 18:20:58
Player 2, Fish, 0:152, 04.08.2022 18:20:59
Player 1, Fish, 1:79, 04.08.2022 18:21:13
Player 2, Fish, 12:376, 04.08.2022 18:21:13
Player 2, Fish, 0:144, 04.08.2022 18:21:13
Player 1, Fish, 0:443, 04.08.2022 18:21:13
Player 1, Fish, 0:227, 04.08.2022 18:21:17
Player 2, plantAloe, 0:43, 04.08.2022 18:21:27
Player 2, Fish, 0:829, 04.08.2022 18:21:28
Player 1, Fish, 0:63, 04.08.2022 18:21:28
Player 2, Fish, 0:182, 04.08.2022 18:21:28
Player 2, Fish, 0:14, 04.08.2022 18:21:28
Player 2, Fish, 0:13, 04.08.2022 18:21:29
Player 1, Fish, 0:372, 04.08.2022 18:21:29
Player 2, Fish, 0:346, 04.08.2022 18:21:29
Player 2, Fish, 0:18, 04.08.2022 18:21:29
Player 2, Fish, 0:5, 04.08.2022 18:21:29
Player 2, Fish, 0:4, 04.08.2022 18:21:29
Player 2, Fish, 0:196, 04.08.2022 18:21:29
Player 2, Window, 0:111, 04.08.2022 18:21:33
Player 1, Fish, 0:324, 04.08.2022 18:21:33
Player 1, plantAloe, 0:70, 04.08.2022 18:21:35
Player 1, plantAloe, 0:85, 04.08.2022 18:21:35
Player 2, plantFarn, 0:233, 04.08.2022 18:21:39
